X,Y,OBJECTID,STATUS,ORIG_PERMIT,CURRENT_PERMITNUM,CONSULTNUM,X_COORD,Y_COORD,BORE_DEPTH,BORE_DIAMETER,SCREEN_INTERVAL,WELL_TYPE_VALUE,WELL_PURPOSE_VALUE,GlobalID,CASING_DEPTH,CASING_DIAMETER,WELL_NBR,WATER_SYSTEM_NAME
-121.910303874836,37.3781197148025,21080,Destroyed,03W00755,D20190618002,MW-7,6151897.0,1963236.0,0.0,,,Water Production,Municipal,3e49f17b-4a17-4511-b899-45c903278a6e,,0.0,06S01E30M068,SAN JOSE WATER
-122.03522104703,37.3809819947119,21081,Abandoned,,, ,6115622.0,1964849.0,0.0,,,Water Production,Municipal,b09b30c5-ea7f-4eb3-8134-f49cbe408a93,,0.0,06S02W25L001,CITY OF SUNNYVALE
-121.940871501186,37.3661380735349,21082,Destroyed,02W00307,09D00371,6429/EW-1,6142949.0,1959009.0,25.0,,,Water Production,Municipal,d4172e1d-62e2-44bb-8f15-4d772dc69e91,,4.0,06S01W35K019,CITY OF SANTA CLARA
-122.034459302619,37.3812669887217,21084,Destroyed,,84D0115, ,6115845.0,1964949.0,0.0,,,Water Production,Municipal,1cdd2189-685b-47aa-a9c9-36209bb061bc,,0.0,06S02W25L002,CITY OF SUNNYVALE
-121.941015373565,37.3663676882223,21085,Destroyed,02W00310,09D00374,EW4,6142908.0,1959093.0,25.0,,,Water Production,Municipal,2cdb7b1f-84d1-44ef-bd5e-353444a0d4cd,,4.0,06S01W35K022,CITY OF SANTA CLARA
-121.995452202703,37.3666355814885,21086,Destroyed,01W01472,14D00037,MW-8R,6127092.0,1959439.0,26.0,,,Water Production,Municipal,d1ca9d85-3d2d-48de-aa68-7235e8f862c0,,6.0,06S01W32K015,CITY OF SANTA CLARA
-121.642646759378,37.1583841869856,21087,Destroyed,03W00387,03D00497,PEET RD #2,6228685.0,1882175.0,285.0,,,Water Production,Municipal,7d6a2ec6-c926-4818-ae2b-58c223ff822b,,8.0,09S03E09R007,CITY OF MORGAN HILL
-122.022677349695,37.3676197220012,21117,Destroyed,03W00576,D20210225012,MW-2A,6119187.0,1959925.0,45.0,,,Water Production,Municipal,ae5b2061-c052-4797-b619-4022631ae516,45.0,4.0,06S01W31E030,CITY OF SUNNYVALE
-122.049749782191,37.3943833479192,21144,Destroyed,96W00138,11D00052,E-7,6111482.0,1969797.0,37.0,,,Water Production,Municipal,1f43d87c-aa8b-4c40-9182-457d656b4417,,5.0,06S02W23K072,CITY OF MOUNTAIN VIEW
-121.592703564701,37.1161464799619,21168,Water Supply - Active,03W00509,03W00509,WELL 5,6243059.0,1866623.0,785.0,,,Water Production,Municipal,1360751a-21bd-4685-8056-e53656024001,750.0,10.0,09S03E25Q001,
-121.935088058453,37.351592281252,21180,Destroyed,,96D00470, ,6144548.0,1953688.0,0.0,,,Water Production,Municipal,25d81728-d9a3-48c7-9b46-8f7b957a5297,,0.0,07S01W02J001,CITY OF SANTA CLARA
-121.897354242299,37.3505943439869,21208,Other - Active,04W00433,04W00433,EW-6,6155510.0,1953159.0,19.0,,,Water Production,Municipal,2e24949d-0976-467d-a4e1-9aecc5caa803,19.0,4.0,07S01E06J027,SAN JOSE WATER
-121.897422689432,37.3505391257968,21209,Other - Active,04W00434,04W00434,EW-7,6155489.0,1953139.0,19.0,,,Water Production,Municipal,7799f7c0-3e37-459c-b454-0300ed7848a9,19.0,2.0,07S01E06J028,SAN JOSE WATER
-121.897539988747,37.3506667984744,21210,Other - Active,04W00437,04W00437,SP-1,6155456.0,1953186.0,19.0,,,Water Production,Municipal,b1f2f8ac-06af-48ed-b68c-ed6b20da0389,19.0,2.0,07S01E06J030,SAN JOSE WATER
-121.897280867907,37.3506005517015,21211,Other - Active,04W00441,04W00441,SP-6,6155531.0,1953161.0,19.0,,,Water Production,Municipal,3b11276d-6675-4b56-9d31-60ca1dc5ff37,19.0,2.0,07S01E06J033,SAN JOSE WATER
-121.897430826372,37.3508313050782,21212,Other - Active,04W00445,04W00445,SP-10,6155489.0,1953245.0,19.0,,,Water Production,Municipal,7b3d6958-894a-44a6-8b44-ced8de4573f9,19.0,4.0,07S01E06J035,SAN JOSE WATER
-121.917654819349,37.3881810816769,21236,Destroyed,90W0085,97D00733,ARMW1,6149817.0,1966931.0,19.0,,,Water Production,Municipal,1af2c69f-6152-4d78-bd59-86e49ff6dc15,,4.0,06S01W25A009,SAN JOSE WATER
-122.019761576387,37.3763419731305,21263,Destroyed,,85D0178, ,6120086.0,1963087.0,0.0,,,Water Production,Municipal,b98d0eb8-d5fa-4b33-9e0b-ba6bba8af613,,0.0,06S01W30N001,CITY OF SUNNYVALE
-122.034185680275,37.3724149349012,21272,Destroyed,,77D0016, ,6115872.0,1961725.0,0.0,,,Water Production,Municipal,eacd6fe6-f83d-45ed-9d9a-6ccf66974bc2,,0.0,06S02W36C004,CITY OF SUNNYVALE
-121.895662103765,37.3575813192454,21284,Abandoned,,, ,6156039.0,1955695.0,0.0,,,Water Production,Municipal,336811de-c36b-4a75-8411-cfd3adfbf4fb,,0.0,07S01E06A001,SAN JOSE WATER
-122.013408043012,37.3737475996002,21292,Destroyed,,96D00524,INDUSTRI,6121916.0,1962112.0,0.0,,,Water Production,Municipal,40490623-5e27-4ebb-981f-58a1b7e5c356,,0.0,06S01W31B003,CITY OF SUNNYVALE
-122.148736579755,37.4452052068051,21294,Destroyed,,89D0175, ,6083056.0,1988790.0,0.0,,,Water Production,Municipal,bff57b3a-45fc-455b-b704-9f4c134099f2,,0.0,06S03W01D010,CITY OF PALO ALTO
-121.800391403868,37.253119538674,21307,Destroyed,,07D00637,RUBINO,6183198.0,1917265.0,0.0,,,Water Production,Municipal,b3504a40-04a6-499d-98f1-a0b712bf24eb,,0.0,08S02E07N001,GREAT OAKS WC INC
-121.819359468534,37.2582986380777,21311,Other - Active,,,ORC-1,6177705.0,1919228.0,0.0,,,Water Production,Municipal,aa04e938-699e-4e6c-b9ac-2e5f980f1dd3,,0.0,08S01E12D012,GREAT OAKS WC INC
-121.810399610805,37.2609828936533,21313,Destroyed,86W0385,94D0317,T-42,6180326.0,1920168.0,30.0,,,Water Production,Municipal,47ee9f7a-950d-4a7a-8d3a-42278da69d0e,,6.0,08S01E01Q006,GREAT OAKS WC INC
-121.845385450861,37.3381356221353,21318,Destroyed,03W00421,08D00088,EW-3,6170549.0,1948401.0,11.0,,,Water Production,Municipal,fa1a2750-59a7-47cd-b2d3-04dbac4093bd,,2.0,07S01E10H060,SAN JOSE WATER
-121.845298400517,37.3382628280899,21319,Destroyed,03W00422,08D00091,EW-4,6170575.0,1948447.0,12.0,,,Water Production,Municipal,6e5990b7-3f05-452d-a00c-143b2626894d,,2.0,07S01E10H058,SAN JOSE WATER
-121.662900361725,37.1021100263369,21323,Water Supply - Active,03W00469,03W00469,5,6222528.0,1861759.0,0.0,,,Water Production,Municipal,460c2c73-697f-46d4-b852-c4b8bb4aa4b5,,0.0,09S03E32Q020,
-121.711658311131,37.1912943598749,21367,Water Supply - Active,03W00681,03W00681,1,6208730.0,1894409.0,260.0,,,Water Production,Municipal,84f2168a-519d-425e-965e-be03de70609b,260.0,6.0,08S02E36M006,COYOTE VALLEY RV RESORT
-121.85900509365,37.280348066493,21371,Abandoned,,, ,6166284.0,1927420.0,0.0,,,Water Production,Municipal,2c846764-ae1f-4d40-b778-19a7e6b134ed,,0.0,07S01E33H001,SAN JOSE WATER
-121.866589087198,37.3080816302481,21373,Destroyed,,85D0025, ,6164225.0,1937549.0,0.0,,,Water Production,Municipal,16e5c1aa-cb2c-4936-876f-f78f0d8dfd33,,0.0,07S01E21K004,SAN JOSE WATER
